name,category,address,phone,website,email,facebook,instagram,whatsapp,latitude,longitude,source_url
Gurung Beauty Parlour & Academy Pvt.Ltd.,ब्युटी पार्लर,"
पोखरा 33700","
985-6026492",,,,,,28.2297224,83.8254047,"https://www.google.com/maps/place/Gurung+Beauty+Parlour+%26+Academy+Pvt.Ltd./@28.2297224,83.8254047,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595b2a92b0241:0x531eb5b9af2ecd40!8m2!3d28.2138501!4d83.9853797!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZMYWxReU9WQjRlVGh1YzNwblJSQULgAQD6AQQIaBA1!16s%2Fg%2F11c1nn5bch?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dragon Hair Salon & Beauty Parlour lakeside,कपाल सैलुन,"
39 Lakeside Rd, पोखरा 33800","
980-5886799",,,,,,28.2052991,83.6732476,"https://www.google.com/maps/place/Dragon+Hair+Salon+%26+Beauty+Parlour+lakeside/@28.2052991,83.6732476,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995953a85b603d7:0xbab646cd74db27c9!8m2!3d28.2052991!4d83.9616387!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQpoYWlyX3NhbG9umgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0S01HVkZZekZTUjJONFlsWndUbG96UW1sTmJVNUdWRmhXV0dORlJSQULgAQD6AQQIexA5!16s%2Fg%2F11khz3_z1y?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Golden touch Spa and parlour pvt.ltd,खनिजमूलक स्वास्थ्यकेन्द्र,"
9, पोखरा","
982-6110641",https://www.goldentouchspa.com.np/,,,,,28.2052991,83.6732476,"https://www.google.com/maps/place/Golden+touch+Spa+and+parlour+pvt.ltd/@28.2052991,83.6732476,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595677099e773:0x9b57040cc88511df!8m2!3d28.2071333!4d83.9608552!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQNzcGGaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRHTmxOV09YUlVWWFJvWkZWemVsbFVWa0ppYTA1WlYydFNjMk5YWXhBQuABAPoBBAgAEDo!16s%2Fg%2F11l5q3dfry?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Showyember beauty and hair station,ब्युटी पार्लर,"
5XRC+FVV, Birauta, पोखरा 33700",,,,,,,28.2052991,83.6732476,"https://www.google.com/maps/place/Showyember+beauty+and+hair+station/@28.2052991,83.6732476,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x39959500148222ab:0xf45aa2ef21dbd3a5!8m2!3d28.1912303!4d83.9721648!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnFlVkJwZFRoM1JSQULgAQD6AQQIABAr!16s%2Fg%2F11vys__904?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Innovative Beautician Training Center & parlour Service,ब्यूटिसियन,,"
986-7706496",https://www.csabeauty.com/,,,,,28.2297224,83.5370136,"https://www.google.com/maps/place/Innovative+Beautician+Training+Center+%26+parlour+Service/@28.2297224,83.5370136,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x6941591227e56167:0xebae6ac442863662!8m2!3d28.2297224!4d83.8254047!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQpiZWF1dGljaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU51ZVU5WWFDMVJSUkFC4AEA-gEECAAQTA!16s%2Fg%2F11w4xw5gf4?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
R.S beauty parlour,ब्युटी पार्लर,"
5XVW+MG6, पोखरा 15","
981-0394760",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/R.S+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595004805a423:0x13f2b98d75a56544!8m2!3d28.1941682!4d83.996259!15sCgdwYXJsb3VykgEMYmVhdXR5X3NhbG9u4AEA!16s%2Fg%2F11lcd65t71?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Shisir Beauty Parlour & Training Center,ब्युटी पार्लर,"
Himalitole, पोखरा 33700","
984-6053821",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Shisir+Beauty+Parlour+%26+Training+Center/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x39959530e153b3f1:0x5553de26fcd7919b!8m2!3d28.1930383!4d83.9755498!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXhkR1UyTjNkQlJSQULgAQD6AQQIABAZ!16s%2Fg%2F11rcmqqq_9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Kapalsome Unisex Parlour – Barber & Hair Salon in Pokhara,हजामको पसल,"
पोखरा 33700","
980-4147084",https://kapalsome.com/,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Kapalsome+Unisex+Parlour+%E2%80%93+Barber+%26+Hair+Salon+in+Pokhara/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x4b5f3b3c6c12ee71:0x87a82c7e4eed2fdc!8m2!3d28.2135953!4d83.9731878!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQtiYXJiZXJfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuVFVOM2VVeHFhVFZCUlJBQuABAPoBBQiTARA3!16s%2Fg%2F11vy38bjrv?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Ananeke Beauty Salon & Spa - Best Beauty Salon in Pokhara for Hair Cut,Colors,Gel Nail,Skin Care)",ब्युटी पार्लर,"
Opposite The Yatra Courtyard, Street no. 15, पोखरा 33700","
061-590139",https://ananekesalon.com/,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Ananeke+Beauty+Salon+%26+Spa+-+Best+Beauty+Salon+in+Pokhara+for+Hair+Cut,Colors,Gel+Nail,Skin+Care)/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595a774c096fb:0x718891de1c379825!8m2!3d28.2103866!4d83.9586591!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFzYlUweGJHRmFSV3hXVTFaQ2VGcEhTa0pSV0dSMVYxVmtjMVF3UlJBQuABAPoBBAgAEEc!16s%2Fg%2F11j0zyccy8?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Pokhara beauty parlour,ब्युटी पार्लर,"
52V3+J72, पोखरा 33700","
981-7155453",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Pokhara+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995955aefc59ab9:0xafda67accf93c11c!8m2!3d28.1938537!4d84.0034693!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkVaM0pRWmpkQlJSQULgAQD6AQQIABAi!16s%2Fg%2F11ss4y4gm6?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
